date,棉花滩水力发电,古田溪水力发电,宁德水力发电,池潭水力发电,金湖水力发电,华安水力发电,太禹水力发电,安砂水力发电,南平水力发电,沙县水力发电,高砂水力发电,万安溪水力发电,贡川水力发电,周宁能源水力发电,双口渡水力发电,丰海水力发电,西门水力发电,南靖水力发电,银河水力发电,合溪水力发电,金溪水力发电,华成水力发电,周宁抽蓄水力发电,福清风力发电,漳平风力发电,连江风力发电,安溪风力发电,宁化风力发电,泉惠风力发电,尤溪风力发电,连城风力发电,海坛海峡风力发电,厦门能源光伏发电,漳州光伏发电,沙县光伏发电,古田光伏发电,连城光伏发电,宁化光伏发电,宁德光伏发电,南平光伏发电,金湖光伏发电,漳平光伏发电,龙岩光伏发电,三明光伏光伏发电,福清光伏光伏发电,安溪光伏光伏发电,泰宁光伏发电,邵武光伏光伏发电,芗城光伏发电,尤溪光伏光伏发电,厦门智慧光伏发电,产业小计火力发电,产业小计水力发电,产业小计风力发电,产业小计光伏发电,产业小计合计,可门#1,可门#2,可门#3,可门#4,邵武#3,邵武#4,永安#7,永安#8,漳平#5,漳平#6,厦门#1,棉花滩#1,棉花滩#2,棉花滩#3,棉花滩#4,白沙#1,白沙#2,永福#1,永福#2,古田溪一级#7,古田溪一级#8,古田溪二级#1,古田溪二级#2,古田溪三级#1,古田溪三级#2,古田溪四级#1,古田溪四级#2,芹山#1,芹山#2,周宁#1,周宁#2,池潭#1,池潭#2,池潭#3,高唐#1,高唐#2,良浅#1,良浅#2,良浅#3,大言#1,大言#2,范厝#1,范厝#2,范厝#3,北溪#1,北溪#2,北溪#3,北溪#4,北溪#5,北溪#6,北溪#7,北溪#8,北溪#9,孔头#1,孔头#2,孔头#3,华安#1,华安#2,华安#3,华安#4,华安#5,华安#6,太禹#1,安砂#1,安砂#2,安砂#3,峡阳#1,峡阳#2,峡阳#3,照口#1,照口#2,照口#3,沙县#1,沙县#2,沙县#3,高砂#1,高砂#2,高砂#3,高砂#4,万安溪#1,万安溪#2,万安溪#3,贡川#1,贡川#2,后垄溪二级#1,后垄溪二级#2,双口渡#1,双口渡#2,丰海#1,丰海#2,西门#1,西门#2,南靖#1,南靖#2,南靖#3,银河#1,银河#2,合溪#1,合溪#2,金溪#1,华成#1,华成#2,龙湾抽蓄#1,龙湾抽蓄#2,龙湾抽蓄#3,龙湾抽蓄#4,牛头尾#1-20,鲤鱼山#21_36,鲤鱼山#37_44,青屿#45-51,赤礁#1_12,龙潭#13_25,大西岭,红尖山,风吹岭,白云岭,青洋#1_22,青洋#23_31,宁化一期,泉惠,珠峰,连城,泽朗#1_46,厦门创业人1.165MWp分布式光伏,福建华电厦门22.8MWP分布式光伏,华电厦门二期8MWp分布式光伏,晋江深沪光伏一期,晋江鞋坊城光伏,诏安一期,东山保税物流,福建华电漳州开发区福钢15MW分布式光伏,沙县工业园,沙县整区金沙园一期3.533MW分布式光伏,古田吉巷前垅一期,新罗龙州,宁化华侨经济开发区,宁化奔鹿园区,宁德时代产业园一期,宁德时代产业园二期,建瓯根艺园,将乐积善工业园区一期,将乐积善工业园区二期,漳平木竹制品孵化园,漳平工业园区一期,漳平工业园区二期,长汀工贸新城一期12.564MW分布式光伏,龙岩南方置业及美食城6.67MW分布式光伏,龙兴公路港物流园5.24MW 分布式光伏发电项目,三明金叶光伏发电项目,福清三锋光伏发电项目,福建华电泉州健为及中闽5MW分布式光伏项目,泰宁县大洋坪工业园一期,华电南平邵武城南3.4MW分布式光伏,福建华电武夷新区海源6MW分布式光伏,福建华电漳州三宝钢铁5.096MW分布式光伏,鑫友鹏纺织有限公司一期2MW分布式光伏,厦门集美后溪综合智慧能源项目屋顶光伏一期,total_pow_generation
2021-01-01,122.04,109.14,36.72,55.71,53.70999999999999,0.0,114.69,83.99600000000001,28.33,28.37,26.62,8.66,25.05,0.0,0.0,27.573,17.52,5.994,17.5608,3.6384,0.0,3.47,0.0,222.82,29.880000000000003,53.010000000000005,35.95,4.74,45.8,0.0,3.22,9.8841,12.74,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6787.598,768.7921999999999,405.30410000000006,17.84,7979.534300000002,902.0,1130.0,815.0,1039.0,0.0,1057.0,479.304,523.272,423.192,418.83,0.0,64.76,0.0,0.0,38.68,12.6,0.0,6.0,0.0,21.03,18.15,47.13,0.0,5.13,5.1,5.87,6.73,0.0,6.12,30.6,0.0,33.58,0.0,22.13,0.0,10.65,0.0,0.0,6.74,7.75,0.0,4.68,4.1,4.64,2.01,0.0,0.0,1.37,0.0,0.25,0.58,0.16,0.0,3.41,3.89,3.48,0.0,0.0,0.0,0.0,0.0,0.0,114.69,0.0,23.0,60.996,1.92,10.62,0.0,11.3,4.49,0.0,0.0,22.6,5.77,0.0,12.46,2.52,11.64,0.0,0.0,8.66,0.0,25.05,0.0,0.0,0.0,0.0,0.0,27.573,0.0,17.52,0.0,5.994,0.0,9.4608,8.1,3.6384,0.0,0.0,1.73,1.74,,,,,38.17,53.87,23.47,41.15,35.95,30.21,8.47,21.41,23.82,29.19,24.68,11.27,4.74,45.8,0.0,3.22,9.8841,,6.34,2.55,2.32,1.53,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6787.598
2021-01-02,116.43,118.18,37.5,53.14,57.74999999999999,0.0,23.5,88.53200000000001,36.15,33.33,31.38,8.69,24.69,0.0,0.0,23.68,17.14,7.254,17.6256,3.4368,0.0,3.47,0.0,243.78,20.73,109.79,52.370000000000005,5.66,65.274482,0.0,5.04,12.0925,11.85,4.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7776.672,701.8783999999999,514.7369820000001,16.66,9009.947382,1109.0,1110.0,1002.0,1201.0,0.0,1315.0,575.98,518.39,487.032,440.07,18.2,37.55,0.0,37.55,22.43,0.0,12.9,0.0,6.0,0.0,43.08,51.84,0.0,10.73,0.0,12.53,0.0,6.0,0.0,31.5,0.0,31.02,0.0,22.12,0.0,9.51,3.51,3.45,6.62,0.0,7.58,4.08,2.66,4.04,2.12,0.0,0.0,1.52,0.0,0.25,0.65,0.0,0.0,3.5,0.0,8.26,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.0,23.12,65.412,0.0,9.01,6.37,0.0,0.0,20.77,0.0,28.57,4.76,0.0,13.0,0.0,18.38,0.0,8.69,0.0,0.0,24.69,0.0,0.0,0.0,0.0,0.0,23.68,0.0,17.14,0.0,7.254,0.0,9.4968,8.1288,3.4368,0.0,0.0,1.73,1.74,,,,,41.34,59.81,28.0,46.52,39.38,28.73,9.0,11.73,54.5,55.29,36.14,16.23,5.66,65.274482,0.0,5.04,12.0925,,6.06,2.3,2.15,1.34,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7776.672
2021-01-03,120.28,153.95000000000002,52.26,78.88,63.25,33.05,28.55,99.932,33.38,21.71,21.09,8.62,22.14,0.0,0.0,22.11,16.94,6.444,17.3376,5.3376,0.0,3.45,0.0,260.89,6.02,105.94,32.14,5.0,50.26,0.0,3.36,13.9301,11.75,5.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8616.890000000001,808.7111999999998,477.5400999999999,16.759999999999998,9919.901300000003,1273.0,1231.0,1239.0,1267.0,0.0,1398.0,645.11,514.18,537.59,480.41,31.6,0.0,0.0,61.11,37.93,8.1,6.9,6.24,0.0,12.04,44.43,50.69,13.37,12.4,3.21,14.01,3.8,4.92,6.84,40.5,0.0,42.02,0.0,36.86,0.0,9.96,4.08,1.16,7.78,0.0,9.36,7.54,4.9,0.0,2.12,0.0,0.0,1.51,0.0,0.25,0.62,0.0,0.0,4.63,0.0,9.34,0.0,3.3,3.42,0.0,26.33,0.0,28.55,5.24,26.52,68.172,0.0,0.0,13.65,6.38,0.0,13.35,0.0,20.39,1.32,0.0,8.27,9.76,3.06,0.0,0.0,8.62,0.0,22.14,0.0,0.0,0.0,0.0,13.67,8.44,0.0,16.94,0.0,6.444,0.0,9.3456,7.992,5.3376,0.0,0.0,1.72,1.73,,,,,48.31,62.64,26.44,48.36,44.55,30.59,3.51,2.51,52.91,53.03,22.46,9.68,5.0,50.26,0.0,3.36,13.9301,,5.79,2.39,2.14,1.43,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8616.890000000001
2021-01-04,115.49,102.98,35.22,51.33,57.25000000000001,40.2,26.33,36.88,33.68,18.32,12.22,8.62,12.6,0.0,0.0,13.79,8.28,7.42,17.5176,3.1008,0.0,3.09,0.0,243.05,8.17,100.5,33.850967,0.04,38.53,0.0,1.12,6.881,11.03,4.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8197.14,604.3184,432.141967,15.94,9249.540367000009,1209.0,1243.0,1158.0,1213.0,0.0,1229.0,615.7,508.2,526.79,462.45,32.0,58.72,0.0,0.0,37.93,6.0,6.6,6.24,0.0,0.0,35.87,43.93,0.0,0.0,10.52,0.0,12.66,5.52,0.0,29.7,0.0,30.7,0.0,20.63,0.0,10.41,4.15,6.74,0.74,9.86,0.0,6.24,0.0,4.1,2.1,0.0,0.0,1.52,0.15,0.1,0.66,0.0,0.0,3.31,3.38,3.79,0.0,0.84,0.99,0.0,38.37,0.0,26.33,0.0,36.88,0.0,0.0,5.79,7.99,14.01,5.89,0.0,0.0,18.32,0.0,0.0,0.0,0.2,12.02,0.0,0.0,8.62,0.0,12.6,0.0,0.0,0.0,0.0,13.79,0.0,0.0,8.28,0.0,7.42,0.0,9.2952,8.2224,3.1008,0.0,0.0,1.53,1.56,,,,,46.38,60.1,25.59,40.86,31.76,38.36,2.39,5.78,52.2,48.3,22.792451,11.058516,0.04,38.53,0.0,1.12,6.881,,6.08,2.38,1.7,0.87,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8197.14
2021-01-05,141.88,143.41000000000005,35.94,115.56,144.82999999999998,42.56,23.43,30.68,79.36,16.76,16.95,8.52,11.49,0.0,0.0,10.076,8.74,6.93,6.861599999999999,5.3472,0.0,3.38,0.0,267.05,15.81,147.05,30.02027,10.89,68.46,0.0,14.28,17.2095,4.89,3.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7866.270000000001,852.7047999999999,570.76977,8.399999999999999,9298.144570000008,1096.0,1140.0,1085.0,1178.0,0.0,1224.0,624.64,508.31,517.64,459.23,33.45,57.33,0.0,12.47,44.6,0.0,12.6,7.44,7.44,50.3,0.0,61.79,0.0,11.48,2.91,3.16,13.77,0.0,5.34,30.6,0.0,54.94,0.0,60.62,0.0,32.43,12.8,12.43,0.0,21.43,0.0,14.52,15.2,0.0,3.0,0.0,0.0,1.49,0.23,0.0,0.27,0.38,0.0,15.29,15.36,0.0,0.0,7.05,0.0,0.0,35.51,0.0,23.43,8.76,21.92,0.0,0.0,23.81,10.12,0.0,31.07,14.36,0.0,16.76,0.0,0.0,6.66,0.0,10.29,5.66,0.0,2.86,0.0,11.49,0.0,0.0,0.0,0.0,10.076,0.0,5.26,3.48,0.0,6.93,0.0,3.6144,3.2472,5.3472,0.0,0.0,1.68,1.7,,,,,54.17,67.59,32.1,55.15,18.63,39.41,7.93,7.88,77.41,69.64,19.480444,10.539826,10.89,68.46,0.0,14.28,17.2095,,2.17,0.75,1.37,0.6,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7866.2699999999995
2021-01-06,109.45,32.29,52.38,117.25,147.23,58.24,47.93,44.0,69.96000000000001,14.21,13.53,8.5,10.02,1.76,0.0,9.595,6.65,6.95,0.0,3.2256,0.0,3.34,0.0,276.09,32.8,153.51999999999998,50.68,16.39,90.3,5.48,6.02,28.0876,7.880000000000001,4.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8125.07,756.5105999999998,659.3675999999999,12.0,9552.9482,1099.0,1216.0,1096.0,1212.0,0.0,1292.0,704.41,518.36,500.16,454.84,32.3,58.72,0.0,38.43,0.0,6.0,6.3,0.0,0.0,10.03,0.0,10.23,3.67,2.58,0.93,3.53,1.32,9.18,0.0,43.2,0.0,59.07,0.0,58.18,0.0,31.44,12.45,14.02,0.0,22.87,0.0,15.3,1.28,13.3,2.11,0.0,0.0,1.48,0.23,0.0,0.0,0.66,0.0,16.8,15.29,0.0,7.59,8.73,7.26,0.0,34.66,0.0,47.93,22.32,21.68,0.0,2.22,11.5,16.13,0.0,6.22,33.89,0.0,8.8,5.41,0.0,13.53,0.0,0.0,8.5,0.0,0.0,0.0,10.02,0.0,1.76,0.0,0.0,9.595,0.0,6.65,0.0,0.0,6.95,0.0,0.0,0.0,3.2256,0.0,0.0,1.66,1.68,,,,,59.88,66.03,34.78,55.85,20.73,38.82,16.56,16.24,82.74,70.78,34.72,15.96,16.39,90.3,5.48,6.02,28.0876,,4.44,1.77,1.07,0.6,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8125.070000000001
2021-01-07,108.86,60.6,72.0,121.94,131.96,43.68,47.27,43.64,60.17,18.9,18.16,8.71,9.06,1.799,0.0,9.62,6.84,5.94,0.0,5.5488,0.0,3.1900000000000004,0.0,299.6,30.33,171.8,54.27,3.69,99.85,0.76,2.1,23.191,4.18,1.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8521.127999999999,777.8878,685.5910000000001,5.355,9989.961800000005,1240.0,1242.0,1220.0,1282.0,0.0,1266.0,707.304,516.03,535.752,476.892,35.15,35.91,0.0,35.78,24.57,6.0,6.6,0.0,0.0,31.59,0.0,10.39,10.28,2.39,1.22,3.47,1.26,11.4,4.8,55.8,0.0,55.12,5.3,61.52,0.0,23.1,11.76,12.82,0.0,23.98,0.0,16.44,6.94,1.9,2.09,0.0,0.0,1.55,0.24,0.0,0.0,0.66,0.0,15.26,15.22,0.0,0.81,2.79,2.49,1.59,36.0,0.0,47.27,22.12,21.52,0.0,0.0,25.41,0.1,0.0,34.51,0.15,0.0,18.9,0.0,0.0,16.37,0.0,1.79,0.0,0.0,8.71,0.0,9.06,1.799,0.0,0.0,0.0,9.62,0.0,6.84,0.0,0.0,5.94,0.0,0.0,0.0,5.5488,0.0,0.0,1.58,1.61,,,,,66.84,62.92,35.63,57.41,33.09,43.71,6.95,23.38,90.68,81.12,36.0,18.27,3.69,99.85,0.76,2.1,23.191,,2.3,0.85,0.7,0.33,1.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8521.127999999999
2021-01-08,117.15,75.89,107.1,146.32,126.22,45.71,40.08,37.04,44.91,16.18,20.0,8.62,9.54,2.949,0.0,10.09,5.98,2.502,0.0,3.6864,0.0,3.14,0.0,223.91000000000005,0.1862,50.01,112.510171,0.0,71.01,0.0,24.36,19.4321,8.06,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8728.258,823.1074000000002,501.41847100000007,9.88,10062.663870999995,1294.0,1244.0,1261.0,1296.0,0.0,1361.0,703.356,515.796,541.2,478.506,33.4,30.24,0.0,44.6,20.41,6.9,15.0,0.0,0.0,18.23,0.0,17.42,16.25,5.42,5.56,6.52,6.49,18.42,13.08,75.6,0.0,43.72,23.89,78.71,0.0,21.57,12.92,11.88,0.0,25.39,0.0,8.11,7.07,7.37,2.0,0.0,0.0,1.38,0.22,0.0,0.0,0.62,0.0,14.47,13.22,0.0,0.0,2.76,2.49,2.31,38.15,0.0,40.08,23.24,13.8,0.0,0.0,13.33,5.29,0.0,14.85,11.44,0.0,16.18,0.0,0.0,1.43,0.0,18.57,0.0,8.62,0.0,0.0,9.54,1.499,1.45,0.0,0.0,6.62,3.47,5.98,0.0,0.0,2.502,0.0,0.0,0.0,3.6864,0.0,0.0,1.56,1.58,,,,,38.5,50.48,25.59,40.3,34.93,34.11,0.0826,0.1036,23.65,26.36,78.578119,33.932052,0.0,71.01,0.0,24.36,19.4321,,3.96,1.49,1.54,1.07,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8728.258
2021-01-09,114.84,74.42999999999999,44.400000000000006,123.2,149.82779999999997,39.15,29.33,23.96,63.62,8.4,8.33,8.64,9.27,2.02,2.13,4.4,5.9,1.17,5.1408000000000005,5.0496,0.0,3.13,0.0,217.3,0.0,52.05,84.61,10.4328,85.97,3.34,23.8,38.1588,13.27,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8641.919999999998,726.3382,515.6616,18.57,9902.489799999998,1272.0,1170.0,1258.0,1305.0,0.0,1374.0,682.12,508.52,555.06,485.07,32.15,35.78,0.0,23.69,36.41,7.5,6.9,3.84,0.72,30.27,0.0,25.54,4.36,4.96,0.86,7.48,0.96,4.44,5.76,34.2,0.0,5.24,44.66,73.3,0.0,27.66,13.7686,13.8666,0.0,25.968,0.0,13.2032,12.3948,0.0,1.976,0.0005,0.0,1.4647,0.2362,0.0,0.0,0.6732,0.0,20.04,18.576,0.0,0.0,0.0,0.0,0.0,39.15,0.0,29.33,14.92,9.04,0.0,4.59,19.34,2.78,0.0,5.76,31.15,0.0,8.4,0.0,0.0,0.0,6.6,1.73,0.0,5.64,3.0,0.0,9.27,1.03,0.99,1.05,1.08,0.0,4.4,5.9,0.0,0.0,1.17,0.0,2.4768,2.664,5.0496,0.0,0.0,1.55,1.58,,,,,35.49,47.65,25.88,42.42,30.33,35.53,0.0,0.0,25.18,26.87,58.57,26.04,10.4328,85.97,3.34,23.8,38.1588,,6.7,2.59,2.34,1.64,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8641.92
2021-01-10,113.9,74.0,36.66,121.84,121.31,46.39,40.13,48.64,58.79,12.27,17.11,8.66,8.79,0.0,0.0,14.545,6.46,0.58,16.7688,5.2224,0.0,3.13,0.0,276.87,0.32,103.99,81.19,13.965,77.95,16.16,5.32,43.3983,11.59,2.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8525.880000000001,755.1962000000001,619.1632999999999,14.43,9914.66950000001,1227.0,1259.0,1215.0,1280.0,0.0,1331.0,666.64,508.81,544.51,477.42,16.5,36.67,0.0,23.69,37.04,6.9,6.0,0.0,3.6,31.04,0.0,28.42,0.0,6.45,0.0,8.09,0.0,5.94,1.02,29.7,0.0,3.75,45.16,72.93,0.0,20.31,10.89,12.32,0.0,21.74,0.0,5.4,1.9,13.65,0.88,1.03,0.0,1.46,0.23,0.0,0.0,0.63,0.0,15.7,15.17,0.0,0.0,5.43,5.19,0.0,35.77,0.0,40.13,26.44,22.2,0.0,24.46,0.0,0.0,0.0,34.33,0.0,0.0,12.27,0.0,0.0,0.0,17.11,0.0,0.0,0.0,8.66,0.0,8.79,0.0,0.0,0.0,0.0,0.0,14.545,6.46,0.0,0.0,0.58,0.0,8.3736,8.3952,5.2224,0.0,0.0,1.54,1.59,,,,,53.77,64.48,31.67,51.47,33.28,42.2,0.0,0.32,51.75,52.24,55.08,26.11,13.965,77.95,16.16,5.32,43.3983,,5.79,2.18,2.17,1.45,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8525.88
2021-01-11,115.06,102.27,87.36,145.7,134.73000000000002,43.07,35.21,46.04,47.59,16.4,15.94,8.47,10.68,0.0,0.0,14.8181,9.64,0.648,12.78,2.9472,0.0,3.05,0.0,189.54,67.89,38.43000000000001,62.58,56.39,41.64,53.59,30.24,32.3103,2.6899999999999995,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9137.536,852.4033,572.6102999999999,3.64,10566.189599999992,1254.0,1233.0,1235.0,1295.0,548.0,1373.0,665.69,507.09,527.694,468.312,30.75,60.23,0.0,0.0,38.93,12.3,0.0,3.6,0.0,42.67,0.0,32.83,7.55,3.3,4.73,5.89,5.3,10.8,13.56,63.0,0.0,18.95,49.27,77.48,0.0,25.02,11.19,11.32,0.0,25.03,0.0,13.41,0.0,11.96,0.0,2.0,0.0,1.43,0.23,0.0,0.0,0.67,0.0,16.25,16.22,0.0,0.0,3.87,1.2,0.0,38.0,0.0,35.21,24.88,21.16,0.0,0.0,20.49,0.0,27.1,0.0,0.0,0.0,16.4,0.0,0.0,15.76,0.18,0.0,8.47,0.0,0.0,0.0,10.68,0.0,0.0,0.0,0.0,11.196,3.6221,3.74,5.9,0.0,0.648,0.0,9.0432,3.7368,2.9472,0.0,0.0,1.5,1.55,,,,,35.39,46.38,22.91,36.48,20.03,28.35,26.22,41.67,16.92,21.51,43.26,19.32,56.39,41.64,53.59,30.24,32.3103,,1.39,0.53,0.51,0.26,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9137.536
2021-01-12,114.43999999999998,82.44000000000001,80.16,120.67,141.04,34.44,33.6,25.28,68.75999999999999,17.57,16.22,8.57,12.9,0.0,0.0,9.72,8.88,0.94,9.0864,3.6864,0.0,2.93,0.0,77.77,113.22,8.66,81.62,56.82,17.214,62.7,45.5,13.4926,13.2,5.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9825.26,791.3328000000001,476.9966,18.75,11112.339399999992,1232.0,1233.0,1207.0,1260.0,1273.0,1398.0,685.54,506.14,528.126,466.704,35.75,38.43,0.0,22.18,37.93,12.3,0.0,0.0,3.6,24.82,0.0,27.66,10.7,6.99,2.87,7.62,1.78,13.44,6.42,60.3,0.0,0.0,49.39,71.28,0.0,28.71,12.15,11.42,0.0,22.56,0.0,14.61,12.89,0.0,0.0,1.96,0.0,1.48,0.17,0.07,0.0,0.65,0.0,17.47,16.9,0.0,0.0,14.55,12.84,5.76,1.29,0.0,33.6,0.48,24.8,0.0,9.9,10.58,8.42,5.6,6.97,27.29,0.0,17.57,0.0,0.0,6.86,0.0,9.36,0.0,0.0,8.57,0.0,12.9,0.0,0.0,0.0,0.0,9.72,0.0,0.0,8.88,0.0,0.94,0.0,9.0864,0.0,3.6864,0.0,0.0,1.46,1.47,,,,,11.52,17.96,7.78,12.73,14.06,13.72,34.64,78.58,4.42,4.24,56.9,24.72,56.82,17.214,62.7,45.5,13.4926,,6.66,2.57,2.34,1.63,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9825.26
2021-01-13,116.26,131.04999999999998,36.84,138.56810000000002,172.57999999999998,48.27,43.3518,42.2,75.0,14.54,16.77,8.59,10.0,0.0,0.0,10.526,7.18,1.044,13.6439,5.3472,0.0,2.99073,0.0,20.2245,19.04,0.3465,23.47,15.9432,5.122922,5.2521,9.66,2.6198,13.06,5.499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9981.87,894.7517299999998,101.679022,18.559,10996.859752000004,1280.0,1129.0,1247.0,1299.0,1367.0,1417.0,700.45,510.46,535.02,467.44,29.5,35.03,0.0,23.18,40.95,12.3,0.0,4.8,0.0,31.33,24.63,52.06,0.0,10.17,0.0,6.69,6.17,3.78,2.46,30.6,0.0,0.0,59.5736,78.9945,0.0,40.02,12.75,15.58,0.0,26.62,0.0,21.45,0.0,12.83,0.0,1.85,0.38,0.95,0.0,0.26,0.0,0.67,0.0,24.0,15.22,0.0,0.0,14.13,13.5,0.0,20.64,0.0,43.3518,6.52,35.68,0.0,24.0,1.0,7.0,9.0,1.0,33.0,0.0,14.54,0.0,0.0,0.0,0.0,16.77,0.0,5.64,2.95,0.0,10.0,0.0,0.0,0.0,0.0,10.526,0.0,0.0,7.18,0.0,1.044,0.0,8.9784,4.6655,5.3472,0.0,0.0,1.53825,1.45248,,,,,1.8849,5.2318,0.707,1.9796,5.2926,5.1286,5.28,13.76,0.2227,0.1238,16.56,6.91,15.9432,5.122922,5.2521,9.66,2.6198,,6.57,2.53,2.34,1.62,5.499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9981.869999999999
2021-01-14,120.09,123.76,35.58,146.82999999999998,156.79000000000002,33.27,46.66,28.44,80.49,13.67,15.34,8.64,8.88,0.0,0.0,11.41,6.5,3.672,17.992800000000003,2.304,0.0,3.12,0.0,56.29,4.676,5.17,6.359999999999999,4.01,8.38,20.64,1.82,14.567,12.33,5.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10057.99,863.4388,121.91299999999998,17.608,11060.949800000002,1289.0,1152.0,1260.0,1314.0,1362.0,1431.0,701.21,510.18,538.91,469.54,30.15,40.07,0.0,20.54,42.08,0.0,12.6,0.0,4.8,0.0,44.22,54.93,0.0,11.33,0.0,13.28,0.0,5.88,0.0,29.7,0.0,0.0,50.14,96.69,0.0,32.46,13.93,10.09,0.0,24.02,0.0,25.53,4.37,2.22,0.0,1.87,0.0,1.25,0.0,0.26,0.0,0.2,0.41,12.82,27.36,0.0,0.0,3.45,3.45,0.0,26.37,0.0,46.66,6.52,21.92,0.0,5.99,27.89,0.0,0.0,37.23,9.38,0.0,13.67,0.0,0.0,0.0,0.0,15.34,0.0,0.0,8.64,0.0,8.88,0.0,0.0,0.0,0.0,11.41,0.0,0.0,6.5,0.0,3.672,0.0,8.9136,9.0792,2.304,0.0,0.0,1.6,1.52,,,,,8.31,16.12,3.82,6.22,11.31,10.51,1.8186,2.8574,3.34,1.83,4.52,1.84,4.01,8.38,20.64,1.82,14.567,,6.19,2.38,2.23,1.53,5.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10057.99
2021-01-15,115.68,120.48,35.46,132.61,162.97199999999998,44.38,48.72,29.08,69.82,17.17,18.16,8.62,10.56,0.0,0.0,11.919999999999998,8.33,2.214,17.62,5.7024,0.0,1.03,0.0,19.28,8.72,11.27,8.45,14.65,5.4665,6.6129,16.38,6.5923,11.87,5.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9307.672,860.5283999999998,97.4217,16.94,10282.562099999992,1230.0,1184.0,1218.0,1248.0,1070.0,1085.0,701.088,510.954,563.73,465.15,31.75,37.8,3.4,23.44,33.64,12.6,0.0,0.0,4.8,0.0,42.69,52.39,0.0,11.34,0.0,14.06,0.0,0.0,5.76,29.7,0.0,0.0,50.81,81.8,0.0,32.97,15.262,11.71,0.0,24.67,0.0,20.06,1.4,11.53,0.0,1.89,0.0,1.32,0.0,0.27,0.0,0.0,0.56,24.91,16.42,0.0,0.0,1.05,1.02,0.0,42.31,0.0,48.72,7.12,21.96,0.0,12.61,14.92,2.02,21.31,18.96,0.0,0.0,17.17,0.0,0.0,0.0,0.0,18.16,0.0,0.0,8.62,1.77,8.79,0.0,0.0,0.0,0.0,8.29,3.63,0.0,8.33,0.0,2.214,0.0,8.73,8.89,5.7024,0.0,0.0,0.53,0.5,,,,,1.79,5.23,1.13,2.26,4.16,4.71,3.56,5.16,6.54,4.73,5.6,2.85,14.65,5.4665,6.6129,16.38,6.5923,,5.97,2.27,2.15,1.48,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9307.671999999999
